ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2021,"2021",453733,5468.569282728344,1.1012144118471578,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",166015,2944,443396,2.331324594718942,158634,4.65284869573988,11.872192595503757
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2021,"2021",269544,4704.432484370457,1.2479727359945416,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",146386,2068,259252,3.9698825852838167,139208,5.156312855583012,7.052778354147627
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2021,"2021",174840,3853.0471058630983,1.3494492674844316,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",174124,3771,163088,7.205925635239871,166503,4.577094707002276,4.574792120912248
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2021,"2021",82731,2490.7928456617983,1.0494276019337287,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",168981,6640,77451,6.817213463996591,160079,5.5610042541495135,2.1647055991488853
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2021,"2021",23534,1532.6219364213732,0.5903975272790924,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",131046,11831,21681,8.546653752133205,121562,7.801780161563647,0.6157810442321485
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2021,"2021",50755,2087.7904588344113,0.7433893978351335,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",94369,4362,48580,4.477151090983944,91001,3.7010582301293393,1.3280346264979475
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2021,"2021",41663,1806.1331623111296,0.9324699465447244,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",215183,15442,41601,0.14903487896925555,199624,7.794153007654391,1.090137063221042
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2021,"2021",223854,4064.4223451801854,0.9499070058914694,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",108429,1762,221395,1.110684523137379,103498,4.764343272333765,5.857272451582534
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2021,"2021",67501,2151.8849876329355,0.8634086030031753,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",90240,4500,66714,1.179662439667836,85297,5.795045546736696,1.7662036316271885
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2021,"2021",133733,3463.756631173732,0.8255711207033734,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",185743,7593,129993,2.8770779965075044,180595,2.850577258506603,3.499203126892917
