ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",2649,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3355796,0.4448687186312694
0,"White Alone",1,"Hispanic or Latino",2021,"2021",12698,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1233113,0.1634704255674542
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",5197,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1183495,0.15689270270198613
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",2002,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",19559,0.0025928832586095815
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2021,"2021",848,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",16377,0.002171054201454528
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2021,"2021",2358,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",22507,0.002983691574289373
3,"Asian Alone",0,"Not Hispanic or Latino",2021,"2021",2568,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",549919,0.07290126124501878
3,"Asian Alone",1,"Hispanic or Latino",2021,"2021",872,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",4668,0.0006188240222500908
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2021,"2021",425.00000000000006,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",6253,0.0008289431472000467
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2021,"2021",575,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",886,0.0001174546023379564
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2021,"2021",2193,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",22052,0.0029233734658652534
5,"Some Other Race Alone",1,"Hispanic or Latino",2021,"2021",11171,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",481895,0.06388350518470598
6,"Two or More Races",0,"Not Hispanic or Latino",2021,"2021",6286.529805862691,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",200866,0.02662825750927308
6,"Two or More Races",1,"Hispanic or Latino",2021,"2021",13069.484037252581,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",445954,0.05911890488828556
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",1546,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3375589,0.45298622169128827
0,"White Alone",1,"Hispanic or Latino",2020,"2020",10320,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1433772,0.19240463250910042
1,"Black or African American Alone",0,"Not Hispanic or Latino",2020,"2020",3964,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1161268,0.15583603444939503
1,"Black or African American Alone",1,"Hispanic or Latino",2020,"2020",1898.9999999999998,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",18794,0.002522055573254348
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2020,"2020",1085,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",19335,0.0025946549169348103
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2020,"2020",1680,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",15825,0.0021236314486937353
3,"Asian Alone",0,"Not Hispanic or Latino",2020,"2020",2644,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",529930,0.07111380812677859
3,"Asian Alone",1,"Hispanic or Latino",2020,"2020",799,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",4081,0.0005476486535304349
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",453,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",7192,0.0009651284283731655
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",381,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",828,0.0001111132284055869
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",1881,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",16176,0.002170733795517843
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",9352,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",419650,0.056314814372469255
6,"Two or More Races",0,"Not Hispanic or Latino",2020,"2020",5666.688715643379,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",183657,0.024645799745513133
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",9917.934109480662,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",265761,0.03566372306074539
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",1030,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3369747,0.46030625914620027
0,"White Alone",1,"Hispanic or Latino",2019,"2019",10268,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1633071,0.22307692622922268
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",3221,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1137943,0.1554426149653385
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",2017.9999999999998,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",20261,0.002767645498775179
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",1142,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",21425,0.002926647490807868
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",1567,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",13287,0.0018149995430741723
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",2227,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",501064,0.06844516678339106
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",556,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3534,0.00048274316137759656
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",458,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",7118,0.000972316305230824
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",262,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",663,0.00009056556762686658
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",1345,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",13664,0.00186649761094043
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",9687,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",381754,0.05214746260004046
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",3943.913031495497,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",152540,0.020836910536654946
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",3338.3459976461395,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",64592,0.008823244561319105
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",1339,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3404049,0.46919860267941077
0,"White Alone",1,"Hispanic or Latino",2018,"2018",9654,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1608890,0.22176206625253547
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",3541.0000000000005,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1105876,0.15242890861344713
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",2159,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",20820,0.0028697339279738134
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",1064,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",20803,0.0028673907254389646
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",1753.0000000000002,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",13115,0.0018077118379143402
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",2488,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",475837,0.06558720379852429
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",461.00000000000006,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3510,0.0004838024057246919
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",450,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",6778,0.0009342486341885931
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",253,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",602,0.00008297693682229758
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",1774.9999999999998,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",13259,0.001827560141738943
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",9231,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",366656,0.05053819227162183
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",4143.610502930988,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",151115,0.02082900300315864
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",3628.082275803568,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",63718,0.008782598771500262
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",1074,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3383689,0.47627974998645206
0,"White Alone",1,"Hispanic or Latino",2017,"2017",9864,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1546874,0.21773418360273153
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",3234,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1073234,0.1510657809263676
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",1969.9999999999998,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",19978,0.0028120541944692138
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",1012.9999999999999,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",18904,0.0026608805932648925
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",1417,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",11710,0.0016482708287733755
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",2088,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",445094,0.06265033785329263
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",496.99999999999994,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3340,0.00047013019368941707
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",406,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",6522,0.0009180206955815503
